Command line parameters;
cache_dir;./_cache;
d;GPU.1;
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;8;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10840;
number of parallel infer requests;8;
duration (ms);0;
number of GPU.1 streams;8;

Execution results;
read model time (ms);16.464515;
reshape model time (ms);0.007086;
compile model time (ms);1797.426378;
first inference time (ms);20.677708;
total execution time (ms);16304.495200;
total number of iterations;10840;
Median latency (ms);11.967282;
Percentile boundary;50;
Average latency (ms);11.988645;
Min latency (ms);8.942481;
Max latency (ms);35.225714;
throughput;664.847324;

