Command line parameters;
cache_dir;./_cache;
d;GPU.1;
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.1 streams;1;

Execution results;
read model time (ms);19.675476;
reshape model time (ms);3.321707;
compile model time (ms);1938.905681;
first inference time (ms);30.436031;
total execution time (ms);61112.660992;
total number of iterations;10833;
Median latency (ms);5.590638;
Percentile boundary;50;
Average latency (ms);5.597831;
Min latency (ms);5.499838;
Max latency (ms);14.063488;
throughput;177.262777;

