Command line parameters;
cache_dir;./_cache;
d;GPU.0;
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);66.943493;
reshape model time (ms);0.007973;
compile model time (ms);2139.399722;
first inference time (ms);41.133868;
total execution time (ms);408284.134895;
total number of iterations;10833;
Median latency (ms);37.623203;
Percentile boundary;50;
Average latency (ms);37.642390;
Min latency (ms);37.357438;
Max latency (ms);39.879889;
throughput;26.532993;

