Command line parameters;
cache_dir;./_cache;
d;GPU.0;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);233.345419;
reshape model time (ms);19.275745;
compile model time (ms);3475.714194;
first inference time (ms);1663.357542;
total execution time (ms);1930303.150034;
total number of iterations;10833;
Median latency (ms);148.513675;
Percentile boundary;50;
Average latency (ms);177.957057;
Min latency (ms);52.092117;
Max latency (ms);1176.979656;
throughput;5.612072;

