Command line parameters;
cache_dir;./_cache;
d;GPU.1;
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.1 streams;1;

Execution results;
read model time (ms);50.725952;
reshape model time (ms);0.007758;
compile model time (ms);2676.597600;
first inference time (ms);18.277903;
total execution time (ms);43032.536445;
total number of iterations;10833;
Median latency (ms);3.916411;
Percentile boundary;50;
Average latency (ms);3.928668;
Min latency (ms);3.841066;
Max latency (ms);12.345102;
throughput;251.739751;

