Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;8;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10840;
number of parallel infer requests;8;
duration (ms);0;
number of GPU.1 streams;8;

Execution results;
read model time (ms);25.634192;
reshape model time (ms);10.211320;
compile model time (ms);2827.580320;
first inference time (ms);700.999584;
total execution time (ms);137243.331838;
total number of iterations;10840;
Median latency (ms);91.380257;
Percentile boundary;50;
Average latency (ms);100.765913;
Min latency (ms);32.417407;
Max latency (ms);549.452961;
throughput;78.983801;

