Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
niter;10833;
nstreams;8;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10840;
number of parallel infer requests;8;
duration (ms);0;
number of GPU.1 streams;8;

Execution results;
read model time (ms);11.871842;
reshape model time (ms);3.418995;
compile model time (ms);1407.609902;
first inference time (ms);581.145701;
total execution time (ms);54435.292855;
total number of iterations;10840;
Median latency (ms);37.841149;
Percentile boundary;50;
Average latency (ms);39.683081;
Min latency (ms);7.821548;
Max latency (ms);471.113264;
throughput;199.135514;

