Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;100;
nstreams;8;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;104;
number of parallel infer requests;8;
duration (ms);0;
number of GPU.1 streams;8;

Execution results;
read model time (ms);15.938034;
reshape model time (ms);5.636257;
compile model time (ms);737.978858;
first inference time (ms);43.265328;
total execution time (ms);635.520673;
total number of iterations;104;
Median latency (ms);36.540871;
Percentile boundary;50;
Average latency (ms);47.092396;
Min latency (ms);19.892506;
Max latency (ms);152.661616;
throughput;163.645345;

