Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.1 streams;1;

Execution results;
read model time (ms);74.929401;
reshape model time (ms);3.593773;
compile model time (ms);2007.129364;
first inference time (ms);1015.685089;
total execution time (ms);166458.735010;
total number of iterations;10833;
Median latency (ms);8.643100;
Percentile boundary;50;
Average latency (ms);15.033438;
Min latency (ms);4.168521;
Max latency (ms);346.636223;
throughput;65.079192;

