Command line parameters;
cache_dir;./_cache;
d;GPU.0;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);51.002037;
reshape model time (ms);6.303005;
compile model time (ms);2236.835126;
first inference time (ms);885.694243;
total execution time (ms);408990.183440;
total number of iterations;10833;
Median latency (ms);33.197871;
Percentile boundary;50;
Average latency (ms);37.518225;
Min latency (ms);13.622330;
Max latency (ms);204.793317;
throughput;26.487188;

