Command line parameters;
cache_dir;./_cache;
d;GPU.0;
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);107.117092;
reshape model time (ms);3.536502;
compile model time (ms);2145.420064;
first inference time (ms);96.761343;
total execution time (ms);1015707.916678;
total number of iterations;10833;
Median latency (ms);93.683500;
Percentile boundary;50;
Average latency (ms);93.714340;
Min latency (ms);93.049199;
Max latency (ms);96.630692;
throughput;10.665468;

