Command line parameters;
cache_dir;./_cache;
d;GPU.0;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);230.082454;
reshape model time (ms);12.066838;
compile model time (ms);3598.420417;
first inference time (ms);1486.455077;
total execution time (ms);1813043.299770;
total number of iterations;10833;
Median latency (ms);149.783093;
Percentile boundary;50;
Average latency (ms);167.128511;
Min latency (ms);53.519259;
Max latency (ms);896.549022;
throughput;5.975037;

