Command line parameters;
cache_dir;./_cache;
d;GPU.1;
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;8;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10840;
number of parallel infer requests;8;
duration (ms);0;
number of GPU.1 streams;8;

Execution results;
read model time (ms);15.543028;
reshape model time (ms);0.007582;
compile model time (ms);1912.637123;
first inference time (ms);23.631312;
total execution time (ms);18512.001732;
total number of iterations;10840;
Median latency (ms);13.593208;
Percentile boundary;50;
Average latency (ms);13.615885;
Min latency (ms);8.242535;
Max latency (ms);33.547384;
throughput;585.566064;

