Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;8;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10840;
number of parallel infer requests;8;
duration (ms);0;
number of GPU.1 streams;8;

Execution results;
read model time (ms);24.956055;
reshape model time (ms);9.947559;
compile model time (ms);3272.565578;
first inference time (ms);727.134413;
total execution time (ms);141130.432392;
total number of iterations;10840;
Median latency (ms);95.406677;
Percentile boundary;50;
Average latency (ms);103.643433;
Min latency (ms);35.663392;
Max latency (ms);531.961827;
throughput;76.808381;

