Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
niter;10833;
nstreams;8;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10840;
number of parallel infer requests;8;
duration (ms);0;
number of GPU.1 streams;8;

Execution results;
read model time (ms);12.000826;
reshape model time (ms);3.362599;
compile model time (ms);1421.806460;
first inference time (ms);486.047370;
total execution time (ms);54659.852410;
total number of iterations;10840;
Median latency (ms);37.868519;
Percentile boundary;50;
Average latency (ms);39.837254;
Min latency (ms);7.959622;
Max latency (ms);506.337177;
throughput;198.317403;

