Command line parameters;
cache_dir;./_cache;
d;GPU.1;
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;8;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10840;
number of parallel infer requests;8;
duration (ms);0;
number of GPU.1 streams;8;

Execution results;
read model time (ms);15.816783;
reshape model time (ms);0.007351;
compile model time (ms);1848.592888;
first inference time (ms);22.631422;
total execution time (ms);17375.533604;
total number of iterations;10840;
Median latency (ms);12.658012;
Percentile boundary;50;
Average latency (ms);12.782830;
Min latency (ms);10.157916;
Max latency (ms);34.371846;
throughput;623.865733;

