Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;100;
nstreams;8;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;104;
number of parallel infer requests;8;
duration (ms);0;
number of GPU.1 streams;8;

Execution results;
read model time (ms);15.881828;
reshape model time (ms);5.504979;
compile model time (ms);758.884136;
first inference time (ms);44.043271;
total execution time (ms);670.353031;
total number of iterations;104;
Median latency (ms);36.664893;
Percentile boundary;50;
Average latency (ms);49.934484;
Min latency (ms);16.586349;
Max latency (ms);163.312954;
throughput;155.142134;

