Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;8;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10840;
number of parallel infer requests;8;
duration (ms);0;
number of GPU.1 streams;8;

Execution results;
read model time (ms);15.597645;
reshape model time (ms);5.444371;
compile model time (ms);1436.701835;
first inference time (ms);630.925944;
total execution time (ms);50543.024624;
total number of iterations;10840;
Median latency (ms);36.178283;
Percentile boundary;50;
Average latency (ms);36.822175;
Min latency (ms);12.818593;
Max latency (ms);335.799990;
throughput;214.470742;

