Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
niter;10833;
nstreams;8;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10840;
number of parallel infer requests;8;
duration (ms);0;
number of GPU.1 streams;8;

Execution results;
read model time (ms);11.990549;
reshape model time (ms);3.382094;
compile model time (ms);1475.966634;
first inference time (ms);632.056650;
total execution time (ms);55499.281427;
total number of iterations;10840;
Median latency (ms);38.908820;
Percentile boundary;50;
Average latency (ms);40.475787;
Min latency (ms);7.840317;
Max latency (ms);425.875472;
throughput;195.317844;

