Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;100;
nstreams;8;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;104;
number of parallel infer requests;8;
duration (ms);0;
number of GPU.1 streams;8;

Execution results;
read model time (ms);15.892323;
reshape model time (ms);5.503807;
compile model time (ms);734.064019;
first inference time (ms);40.856673;
total execution time (ms);654.654387;
total number of iterations;104;
Median latency (ms);35.786731;
Percentile boundary;50;
Average latency (ms);48.927052;
Min latency (ms);12.729902;
Max latency (ms);165.359825;
throughput;158.862450;

