Command line parameters;
cache_dir;./_cache;
d;GPU.1;
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
niter;10833;
nstreams;8;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10840;
number of parallel infer requests;8;
duration (ms);0;
number of GPU.1 streams;8;

Execution results;
read model time (ms);20.113668;
reshape model time (ms);3.403636;
compile model time (ms);1739.557482;
first inference time (ms);28.390320;
total execution time (ms);33575.581957;
total number of iterations;10840;
Median latency (ms);24.725088;
Percentile boundary;50;
Average latency (ms);24.731093;
Min latency (ms);12.975329;
Max latency (ms);41.668417;
throughput;322.853674;

