Command line parameters;
cache_dir;./_cache;
d;GPU.1;
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;8;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10840;
number of parallel infer requests;8;
duration (ms);0;
number of GPU.1 streams;8;

Execution results;
read model time (ms);25.162663;
reshape model time (ms);0.007904;
compile model time (ms);3080.210998;
first inference time (ms);21.802816;
total execution time (ms);110256.991343;
total number of iterations;10840;
Median latency (ms);80.940236;
Percentile boundary;50;
Average latency (ms);81.309099;
Min latency (ms);45.219160;
Max latency (ms);100.004382;
throughput;98.315761;

