Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;8;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10840;
number of parallel infer requests;8;
duration (ms);0;
number of GPU.1 streams;8;

Execution results;
read model time (ms);25.564192;
reshape model time (ms);10.054550;
compile model time (ms);3048.953699;
first inference time (ms);722.266766;
total execution time (ms);140287.618215;
total number of iterations;10840;
Median latency (ms);94.367216;
Percentile boundary;50;
Average latency (ms);103.021772;
Min latency (ms);31.930442;
Max latency (ms);502.287898;
throughput;77.269827;

