Command line parameters;
cache_dir;./_cache;
d;GPU.0;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);16.036900;
reshape model time (ms);5.540054;
compile model time (ms);828.388452;
first inference time (ms);648.266961;
total execution time (ms);2251.798804;
total number of iterations;100;
Median latency (ms);21.401386;
Percentile boundary;50;
Average latency (ms);22.484734;
Min latency (ms);13.618258;
Max latency (ms);43.685895;
throughput;44.408941;

