Command line parameters;
cache_dir;./_cache;
d;GPU.0;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);16.294920;
reshape model time (ms);5.518382;
compile model time (ms);249.106459;
first inference time (ms);80.940103;
total execution time (ms);2075.977663;
total number of iterations;100;
Median latency (ms);20.057882;
Percentile boundary;50;
Average latency (ms);20.681255;
Min latency (ms);13.423386;
Max latency (ms);41.239155;
throughput;48.170075;

