Command line parameters;
cache_dir;./_cache;
d;GPU.0;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);16.125584;
reshape model time (ms);5.469027;
compile model time (ms);861.961313;
first inference time (ms);645.838796;
total execution time (ms);281456.594020;
total number of iterations;10833;
Median latency (ms);23.489443;
Percentile boundary;50;
Average latency (ms);25.900324;
Min latency (ms);9.570234;
Max latency (ms);89.197764;
throughput;38.489061;

