Command line parameters;
cache_dir;./_cache;
d;GPU.1;
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;4;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10836;
number of parallel infer requests;4;
duration (ms);0;
number of GPU.1 streams;4;

Execution results;
read model time (ms);16.046037;
reshape model time (ms);0.007809;
compile model time (ms);1875.398693;
first inference time (ms);23.607066;
total execution time (ms);18398.302093;
total number of iterations;10836;
Median latency (ms);6.685721;
Percentile boundary;50;
Average latency (ms);6.744481;
Min latency (ms);6.442560;
Max latency (ms);29.308833;
throughput;588.967392;

