Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;100;
nstreams;4;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;4;
duration (ms);0;
number of GPU.1 streams;4;

Execution results;
read model time (ms);15.920770;
reshape model time (ms);5.531409;
compile model time (ms);522.180899;
first inference time (ms);42.488139;
total execution time (ms);638.623814;
total number of iterations;100;
Median latency (ms);20.525378;
Percentile boundary;50;
Average latency (ms);24.965471;
Min latency (ms);10.213614;
Max latency (ms);96.702661;
throughput;156.586707;

