Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
niter;10833;
nstreams;4;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10836;
number of parallel infer requests;4;
duration (ms);0;
number of GPU.1 streams;4;

Execution results;
read model time (ms);11.716442;
reshape model time (ms);3.441317;
compile model time (ms);1152.558035;
first inference time (ms);635.262980;
total execution time (ms);62181.361869;
total number of iterations;10836;
Median latency (ms);20.837101;
Percentile boundary;50;
Average latency (ms);22.521657;
Min latency (ms);7.245948;
Max latency (ms);119.355956;
throughput;174.264437;

