Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;4;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10836;
number of parallel infer requests;4;
duration (ms);0;
number of GPU.1 streams;4;

Execution results;
read model time (ms);15.565501;
reshape model time (ms);5.442830;
compile model time (ms);1264.303399;
first inference time (ms);635.334722;
total execution time (ms);62012.359099;
total number of iterations;10836;
Median latency (ms);22.201543;
Percentile boundary;50;
Average latency (ms);22.473131;
Min latency (ms);9.708029;
Max latency (ms);223.479203;
throughput;174.739361;

