Command line parameters;
cache_dir;./_cache;
d;GPU.0;
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);40.313896;
reshape model time (ms);0.008115;
compile model time (ms);1909.324483;
first inference time (ms);283.524693;
total execution time (ms);3043678.760028;
total number of iterations;10833;
Median latency (ms);280.792991;
Percentile boundary;50;
Average latency (ms);280.913981;
Min latency (ms);280.202538;
Max latency (ms);283.953493;
throughput;3.559180;

