Command line parameters;
cache_dir;./_cache;
d;GPU.0;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);15.820272;
reshape model time (ms);5.517216;
compile model time (ms);246.206894;
first inference time (ms);79.679034;
total execution time (ms);2280.584256;
total number of iterations;100;
Median latency (ms);21.283337;
Percentile boundary;50;
Average latency (ms);22.751115;
Min latency (ms);14.140277;
Max latency (ms);49.724733;
throughput;43.848413;

