Command line parameters;
cache_dir;./_cache;
d;GPU.0;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);25.895571;
reshape model time (ms);10.200059;
compile model time (ms);1433.147991;
first inference time (ms);1100.446121;
total execution time (ms);1598299.951660;
total number of iterations;10833;
Median latency (ms);133.057892;
Percentile boundary;50;
Average latency (ms);147.459713;
Min latency (ms);44.811714;
Max latency (ms);487.834984;
throughput;6.777827;

