Command line parameters;
cache_dir;./_cache;
d;GPU.0;
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);25.080064;
reshape model time (ms);3.414049;
compile model time (ms);1040.037753;
first inference time (ms);89.806192;
total execution time (ms);953177.536856;
total number of iterations;10833;
Median latency (ms);87.906238;
Percentile boundary;50;
Average latency (ms);87.933618;
Min latency (ms);87.563702;
Max latency (ms);90.207388;
throughput;11.365144;

