Command line parameters;
cache_dir;./_cache;
d;GPU.0;
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);17.809731;
reshape model time (ms);0.007727;
compile model time (ms);908.637335;
first inference time (ms);35.098276;
total execution time (ms);362667.078020;
total number of iterations;10833;
Median latency (ms);33.411491;
Percentile boundary;50;
Average latency (ms);33.424622;
Min latency (ms);33.193755;
Max latency (ms);34.341986;
throughput;29.870371;

