Command line parameters;
cache_dir;./_cache;
d;GPU.0;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);12.315443;
reshape model time (ms);3.402947;
compile model time (ms);903.233196;
first inference time (ms);606.251685;
total execution time (ms);517727.981824;
total number of iterations;10833;
Median latency (ms);41.411209;
Percentile boundary;50;
Average latency (ms);47.706553;
Min latency (ms);14.625045;
Max latency (ms);225.554725;
throughput;20.924115;

