Command line parameters;
cache_dir;./_cache;
d;GPU.0;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);16.336928;
reshape model time (ms);5.653756;
compile model time (ms);246.911032;
first inference time (ms);79.290448;
total execution time (ms);2036.983877;
total number of iterations;100;
Median latency (ms);19.684844;
Percentile boundary;50;
Average latency (ms);20.285203;
Min latency (ms);13.401947;
Max latency (ms);40.145605;
throughput;49.092190;

