Command line parameters;
cache_dir;./_cache;
d;GPU.0;
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);26.968274;
reshape model time (ms);3.424601;
compile model time (ms);1050.384474;
first inference time (ms);89.839389;
total execution time (ms);953480.674886;
total number of iterations;10833;
Median latency (ms);87.934210;
Percentile boundary;50;
Average latency (ms);87.961283;
Min latency (ms);87.564052;
Max latency (ms);90.223818;
throughput;11.361531;

