Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.1 streams;1;

Execution results;
read model time (ms);48.067431;
reshape model time (ms);5.334393;
compile model time (ms);403.696277;
first inference time (ms);127.175594;
total execution time (ms);1913.244271;
total number of iterations;100;
Median latency (ms);17.860228;
Percentile boundary;50;
Average latency (ms);18.811775;
Min latency (ms);8.205110;
Max latency (ms);107.163617;
throughput;52.267241;

