Command line parameters;
cache_dir;./_cache;
d;GPU.1;
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.1 streams;1;

Execution results;
read model time (ms);213.317216;
reshape model time (ms);0.008964;
compile model time (ms);3869.139735;
first inference time (ms);58.220074;
total execution time (ms);160067.837485;
total number of iterations;10833;
Median latency (ms);14.724143;
Percentile boundary;50;
Average latency (ms);14.732590;
Min latency (ms);14.597385;
Max latency (ms);15.269299;
throughput;67.677556;

