Command line parameters;
cache_dir;./_cache;
d;GPU.1;
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.1 streams;1;

Execution results;
read model time (ms);48.849393;
reshape model time (ms);0.007858;
compile model time (ms);2378.930093;
first inference time (ms);19.697243;
total execution time (ms);47019.950677;
total number of iterations;10833;
Median latency (ms);4.288760;
Percentile boundary;50;
Average latency (ms);4.298374;
Min latency (ms);4.204134;
Max latency (ms);14.545086;
throughput;230.391565;

