Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.1 streams;1;

Execution results;
read model time (ms);213.218562;
reshape model time (ms);9.489002;
compile model time (ms);3800.856290;
first inference time (ms);1304.446573;
total execution time (ms);351513.904606;
total number of iterations;10833;
Median latency (ms);24.631997;
Percentile boundary;50;
Average latency (ms);32.125063;
Min latency (ms);16.928720;
Max latency (ms);659.993954;
throughput;30.818127;

