Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.1 streams;1;

Execution results;
read model time (ms);25.313245;
reshape model time (ms);10.049056;
compile model time (ms);1968.993008;
first inference time (ms);721.592173;
total execution time (ms);283727.869322;
total number of iterations;10833;
Median latency (ms);21.444512;
Percentile boundary;50;
Average latency (ms);25.888196;
Min latency (ms);15.413087;
Max latency (ms);95.240824;
throughput;38.180951;

