Command line parameters;
cache_dir;./_cache;
d;GPU.0;
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);15.803806;
reshape model time (ms);0.008762;
compile model time (ms);891.659398;
first inference time (ms);36.069052;
total execution time (ms);371610.707235;
total number of iterations;10833;
Median latency (ms);34.245905;
Percentile boundary;50;
Average latency (ms);34.257017;
Min latency (ms);33.949002;
Max latency (ms);36.093161;
throughput;29.151474;

