Command line parameters;
cache_dir;./_cache;
d;GPU.0;
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);25.170034;
reshape model time (ms);0.008236;
compile model time (ms);1679.760191;
first inference time (ms);286.354167;
total execution time (ms);3073702.072869;
total number of iterations;10833;
Median latency (ms);283.565668;
Percentile boundary;50;
Average latency (ms);283.688655;
Min latency (ms);282.637122;
Max latency (ms);288.293003;
throughput;3.524414;

