Command line parameters;
cache_dir;./_cache;
d;GPU.0;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);15.855059;
reshape model time (ms);5.618958;
compile model time (ms);243.314620;
first inference time (ms);83.211037;
total execution time (ms);2856.080319;
total number of iterations;100;
Median latency (ms);28.818060;
Percentile boundary;50;
Average latency (ms);28.295729;
Min latency (ms);14.494044;
Max latency (ms);59.096071;
throughput;35.013021;

