Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.1 streams;1;

Execution results;
read model time (ms);22.813020;
reshape model time (ms);5.545582;
compile model time (ms);1139.797329;
first inference time (ms);650.571251;
total execution time (ms);1267.573770;
total number of iterations;100;
Median latency (ms);12.378170;
Percentile boundary;50;
Average latency (ms);12.574352;
Min latency (ms);8.279323;
Max latency (ms);34.602481;
throughput;78.890872;

