Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.1 streams;1;

Execution results;
read model time (ms);16.075216;
reshape model time (ms);5.736061;
compile model time (ms);316.242541;
first inference time (ms);36.483665;
total execution time (ms);1253.831602;
total number of iterations;100;
Median latency (ms);11.901586;
Percentile boundary;50;
Average latency (ms);12.469171;
Min latency (ms);7.258942;
Max latency (ms);56.813701;
throughput;79.755527;

