Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.1 streams;1;

Execution results;
read model time (ms);22.905595;
reshape model time (ms);5.528547;
compile model time (ms);1062.694012;
first inference time (ms);639.037555;
total execution time (ms);137431.903336;
total number of iterations;10833;
Median latency (ms);12.725635;
Percentile boundary;50;
Average latency (ms);12.631287;
Min latency (ms);6.849403;
Max latency (ms);59.578994;
throughput;78.824492;

