Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.1 streams;1;

Execution results;
read model time (ms);12.039246;
reshape model time (ms);3.456775;
compile model time (ms);1063.000000;
first inference time (ms);704.901314;
total execution time (ms);126351.106152;
total number of iterations;10833;
Median latency (ms);12.548473;
Percentile boundary;50;
Average latency (ms);11.373970;
Min latency (ms);4.142398;
Max latency (ms);67.906821;
throughput;85.737279;

