Command line parameters;
cache_dir;./_cache;
d;GPU.1;
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.1 streams;1;

Execution results;
read model time (ms);15.880477;
reshape model time (ms);0.033476;
compile model time (ms);1824.432655;
first inference time (ms);23.461920;
total execution time (ms);37498.215091;
total number of iterations;10833;
Median latency (ms);3.410697;
Percentile boundary;50;
Average latency (ms);3.421139;
Min latency (ms);3.339954;
Max latency (ms);17.176256;
throughput;288.893751;

