Command line parameters;
cache_dir;./_cache;
d;GPU.1;
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;8;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10840;
number of parallel infer requests;8;
duration (ms);0;
number of GPU.1 streams;8;

Execution results;
read model time (ms);25.519861;
reshape model time (ms);0.007851;
compile model time (ms);2938.666339;
first inference time (ms);23.445711;
total execution time (ms);104672.885387;
total number of iterations;10840;
Median latency (ms);76.850295;
Percentile boundary;50;
Average latency (ms);77.189221;
Min latency (ms);46.278950;
Max latency (ms);89.619637;
throughput;103.560726;

