Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;8;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10840;
number of parallel infer requests;8;
duration (ms);0;
number of GPU.1 streams;8;

Execution results;
read model time (ms);15.837105;
reshape model time (ms);5.447394;
compile model time (ms);1478.170152;
first inference time (ms);651.220384;
total execution time (ms);35821.144918;
total number of iterations;10840;
Median latency (ms);24.673152;
Percentile boundary;50;
Average latency (ms);26.381165;
Min latency (ms);9.850424;
Max latency (ms);165.244968;
throughput;302.614560;

