Command line parameters;
cache_dir;./_cache;
d;GPU.0;
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);17.709263;
reshape model time (ms);0.007070;
compile model time (ms);942.303356;
first inference time (ms);36.165498;
total execution time (ms);372369.523518;
total number of iterations;10833;
Median latency (ms);34.321950;
Percentile boundary;50;
Average latency (ms);34.325292;
Min latency (ms);34.005623;
Max latency (ms);34.857663;
throughput;29.092069;

