Command line parameters;
cache_dir;./_cache;
d;GPU.0;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);11.744354;
reshape model time (ms);3.393538;
compile model time (ms);796.766800;
first inference time (ms);777.569038;
total execution time (ms);548964.223038;
total number of iterations;10833;
Median latency (ms);43.402233;
Percentile boundary;50;
Average latency (ms);50.433197;
Min latency (ms);16.263440;
Max latency (ms);254.409402;
throughput;19.733526;

