Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.1 streams;1;

Execution results;
read model time (ms);77.213048;
reshape model time (ms);3.434995;
compile model time (ms);1930.490663;
first inference time (ms);1023.240774;
total execution time (ms);167251.572358;
total number of iterations;10833;
Median latency (ms);8.903021;
Percentile boundary;50;
Average latency (ms);15.114979;
Min latency (ms);4.308275;
Max latency (ms);315.841804;
throughput;64.770692;

