Command line parameters;
cache_dir;./_cache;
d;GPU.1;
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.1 streams;1;

Execution results;
read model time (ms);75.176802;
reshape model time (ms);3.306958;
compile model time (ms);2633.634121;
first inference time (ms);32.605411;
total execution time (ms);61227.611963;
total number of iterations;10833;
Median latency (ms);5.598698;
Percentile boundary;50;
Average latency (ms);5.607738;
Min latency (ms);5.509296;
Max latency (ms);12.400344;
throughput;176.929977;

