Command line parameters;
cache_dir;./_cache;
d;GPU.1;
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.1 streams;1;

Execution results;
read model time (ms);50.403443;
reshape model time (ms);0.009449;
compile model time (ms);2757.541378;
first inference time (ms);19.777712;
total execution time (ms);43681.383430;
total number of iterations;10833;
Median latency (ms);3.987366;
Percentile boundary;50;
Average latency (ms);3.994022;
Min latency (ms);3.917707;
Max latency (ms);15.039185;
throughput;248.000387;

