Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
niter;10833;
nstreams;8;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10840;
number of parallel infer requests;8;
duration (ms);0;
number of GPU.1 streams;8;

Execution results;
read model time (ms);12.046400;
reshape model time (ms);3.385254;
compile model time (ms);1555.866479;
first inference time (ms);510.053748;
total execution time (ms);45654.567467;
total number of iterations;10840;
Median latency (ms);29.256588;
Percentile boundary;50;
Average latency (ms);33.616520;
Min latency (ms);8.669151;
Max latency (ms);201.225241;
throughput;237.435170;

