Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;8;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10840;
number of parallel infer requests;8;
duration (ms);0;
number of GPU.1 streams;8;

Execution results;
read model time (ms);16.090125;
reshape model time (ms);5.646440;
compile model time (ms);1489.924976;
first inference time (ms);643.768218;
total execution time (ms);39912.193287;
total number of iterations;10840;
Median latency (ms);27.496472;
Percentile boundary;50;
Average latency (ms);29.402033;
Min latency (ms);12.983672;
Max latency (ms);153.377080;
throughput;271.596199;

