Command line parameters;
cache_dir;./_cache;
d;GPU.1;
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;8;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10840;
number of parallel infer requests;8;
duration (ms);0;
number of GPU.1 streams;8;

Execution results;
read model time (ms);25.847191;
reshape model time (ms);0.007724;
compile model time (ms);2901.513347;
first inference time (ms);25.796566;
total execution time (ms);107167.316205;
total number of iterations;10840;
Median latency (ms);78.754173;
Percentile boundary;50;
Average latency (ms);79.031182;
Min latency (ms);43.358263;
Max latency (ms);94.915448;
throughput;101.150242;

