Command line parameters;
cache_dir;./_cache;
d;GPU.1;
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;8;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10840;
number of parallel infer requests;8;
duration (ms);0;
number of GPU.1 streams;8;

Execution results;
read model time (ms);16.866487;
reshape model time (ms);0.030030;
compile model time (ms);1844.670672;
first inference time (ms);22.656140;
total execution time (ms);17314.088990;
total number of iterations;10840;
Median latency (ms);12.709955;
Percentile boundary;50;
Average latency (ms);12.733592;
Min latency (ms);10.063655;
Max latency (ms);38.634273;
throughput;626.079721;

