Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;100;
nstreams;8;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;104;
number of parallel infer requests;8;
duration (ms);0;
number of GPU.1 streams;8;

Execution results;
read model time (ms);15.703634;
reshape model time (ms);5.540230;
compile model time (ms);761.467520;
first inference time (ms);46.279150;
total execution time (ms);567.887438;
total number of iterations;104;
Median latency (ms);33.334049;
Percentile boundary;50;
Average latency (ms);42.933268;
Min latency (ms);16.669232;
Max latency (ms);160.160036;
throughput;183.134884;

