Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.1 streams;1;

Execution results;
read model time (ms);51.050087;
reshape model time (ms);6.498123;
compile model time (ms);432.966797;
first inference time (ms);122.179002;
total execution time (ms);1676.252310;
total number of iterations;100;
Median latency (ms);15.269539;
Percentile boundary;50;
Average latency (ms);16.531540;
Min latency (ms);6.674690;
Max latency (ms);119.148359;
throughput;59.656890;

